QQ_muc_pop,QQ_muc_up,QQ_muc_name,QQ_muc_singer,QQ_muc_time
1,119,跳楼机,LBI利比（时柏尘）,03:21
2,95,如果的事 (Live),陈卓璇,04:23
3,88,心中的日月,王睿卓,03:44
4,86,失踪（她说她找不到能爱的人）,正在进行石女士,03:14
5,82,有一种遗憾叫我们,田园,03:30
6,78,恋人未满,关诗敏,04:13
7,76,至少我还算快乐,时代少年团,03:20
8,71,爱不到的偏偏是最爱的人,恰恰恰恰恰,03:05
9,69,有一种遗憾叫我们,于冬然,03:30
10,68,在你的身边,盛哲,04:22
11,67,如果当时,许嵩,05:16
12,59,你怎么舍得我难过,文夫,03:40
13,56,从前那个女孩 (Live),王赫野,04:05
14,55,岁月里的花,莫文蔚,04:14
15,46,转身即心痛,吉星出租,03:07
16,44,将你还于人海,刘明军,03:52
17,43,Starlight,TF家族-余宇涵,02:52
18,41,poppop,NCT WISH (엔시티 위시),03:02
19,41,Miami Nights (迈阿密之夜),喻言,03:08
20,39,相见恨晚,吕口口,03:35
