QQ_muc_pop,QQ_muc_up,QQ_muc_name,QQ_muc_singer,QQ_muc_time
1,40,下一个天亮,郭静,04:26
2,34,转身即心痛,吉星出租,03:07
3,31,可不可以,张紫豪,04:00
4,30,一二三,田馥甄,03:55
5,20,演员,薛之谦,04:21
6,20,就是哪吒,唐汉霄,03:51
7,19,少一点天份,孙盛希,04:34
8,18,雨爱,杨丞琳,04:20
9,16,唯一,G.E.M. 邓紫棋,04:13
10,15,瞬,郑润泽,04:44
11,15,Baby, Don't Cry（人鱼的眼泪） (Chinese Ver.),EXO (엑소),03:55
12,15,特别的人,方大同,04:19
13,14,麦恩莉,方大同,04:48
14,14,越来越不懂,蔡健雅,04:09
15,14,爱错,王力宏,03:58
16,14,Always Online,林俊杰,03:45
17,14,下雨天,南拳妈妈,04:13
18,13,Shots (Broiler Remix),Broiler,03:11
19,13,我怀念的,孙燕姿,04:49
20,12,天亮以前说再见（雪花多舍不得冬天）,四熹丸子,03:53
