歌名,歌手,专辑,时长,爬取时间
Starlight,TF家族-余宇涵,Starlight,172秒,2025-04-13 19:07:33
唯一,G.E.M. 邓紫棋,T.I.M.E.,253秒,2025-04-13 19:07:33
西楼爱情故事,李袁杰,西楼爱情故事,121秒,2025-04-13 19:07:33
跳楼机,LBI利比（时柏尘）,跳楼机,201秒,2025-04-13 19:07:33
瞬,郑润泽,瞬,284秒,2025-04-13 19:07:33
爱错,王力宏,心中的日月,238秒,2025-04-13 19:07:33
特别的人,方大同,危险世界,259秒,2025-04-13 19:07:33
搀扶,马健涛,搀扶,327秒,2025-04-13 19:07:33
去远方,付俊乐,去远方,213秒,2025-04-13 19:07:33
下一个天亮,郭静,下一个天亮,266秒,2025-04-13 19:07:33
我怀念的,孙燕姿,逆光,289秒,2025-04-13 19:07:33
舍得,王唯旖,舍得,262秒,2025-04-13 19:07:33
Always Online,林俊杰,JJ陆,225秒,2025-04-13 19:07:33
爱我还是他,陶喆,太平盛世,292秒,2025-04-13 19:07:33
I guess nobody,TF_ING邓佳鑫,infinite,197秒,2025-04-13 19:07:33
心跳,王力宏,心·跳,263秒,2025-04-13 19:07:33
越来越不懂,蔡健雅,Goodbye & Hello,249秒,2025-04-13 19:07:33
只为你着迷,李秉成,只为你着迷,240秒,2025-04-13 19:07:33
"Baby, Don't Cry（人鱼的眼泪） (Chinese Ver.)",EXO (엑소),The 1st Album XOXO (KISS&HUG),235秒,2025-04-13 19:07:33
麦恩莉,方大同,回到未来,288秒,2025-04-13 19:07:33
雨爱,杨丞琳,雨爱,260秒,2025-04-13 19:07:33
多远都要在一起,G.E.M. 邓紫棋,新的心跳,217秒,2025-04-13 19:07:33
孤独患者,陈奕迅,?,273秒,2025-04-13 19:07:33
世界赠予我的,王菲,世界赠予我的,244秒,2025-04-13 19:07:33
如果爱忘了 (Live),汪苏泷,声生不息·家年华 第12期,245秒,2025-04-13 19:07:33
红色高跟鞋,蔡健雅,若你碰到他,206秒,2025-04-13 19:07:33
无名的人,毛不易,无名的人,282秒,2025-04-13 19:07:33
山楂树の恋,程佳佳,山楂树の恋,197秒,2025-04-13 19:07:33
江南,林俊杰,第二天堂,267秒,2025-04-13 19:07:33
演员,薛之谦,绅士,261秒,2025-04-13 19:07:33
春娇与志明,街道办GDC,春娇与志明,204秒,2025-04-13 19:07:33
如果当时,许嵩,自定义,316秒,2025-04-13 19:07:33
我们俩,郭顶,微微,193秒,2025-04-13 19:07:33
如果可以,韦礼安,如果可以,274秒,2025-04-13 19:07:33
少一点天份,孙盛希,|希。O2 | 初雪限定,274秒,2025-04-13 19:07:33
过火,张信哲,宽容,302秒,2025-04-13 19:07:33
偏爱,张芸京,破天荒,212秒,2025-04-13 19:07:33
感谢你曾来过,Ayo97,卧龙与酒,250秒,2025-04-13 19:07:33
晴天,周杰伦,叶惠美,269秒,2025-04-13 19:07:33
就是哪吒,唐汉霄,哪吒之魔童闹海 电影原声大碟,231秒,2025-04-13 19:07:33
超级英雄,邓超,超级英雄,218秒,2025-04-13 19:07:33
青花,周传雄,蓝色土耳其,297秒,2025-04-13 19:07:33
句号,G.E.M. 邓紫棋,摩天动物园,235秒,2025-04-13 19:07:33
土坡上的狗尾草,卢润泽,土坡上的狗尾巴草,195秒,2025-04-13 19:07:33
